번호,문항,답안,해설
1,. 성희롱 피해대상은 남성도 될 수 있다.,O,성희롱 피해대상은 남성도 될 수 있다.
2,지위를 이용하거나 업무등과 관련하여 성적언동 또는 성적 요구등으로 상대방에게 성적 굴욕감이나 혐오감을 느끼게 하는 행위는 성희롱에 해당한다.,O,지위를 이용하거나 업무등과 관련하여 성적 언동 또는 성적 요구등으로 상대방에게 성적 굴욕감이나 혐오감을 느끼게 하는 행위는 성희롱에 해당한다.
3,"성희롱은 반드시 강제성이 있어야 하는것은 아니며, 성적 수치심을 야기하는 행위만으로도 성립한다.",O," 성희롱이 성립하기 위해서는 반드시 강제성을 필요로 하지 않으며, 성적 수치심을 야기하는 행위만으로도 성립한다."
4,직장 동료 또는 부하직원에게 안마를 해달라고 하는것은 성희롱이 될 수 있다.,O,안마를 강요하는 행위도 육체적행위로서 성희롱에 해당할 수 있다
5,직장 동료 또는 부하직원에게 일부 음란한 내용이 포함된 것이라고 해도 단순 농담으로 하는 것은 성희롱이 아니다.,X,직장동료에게 음란한 농담을 하거나 음탕하고 상스로운 이야기를 하는 행위는 성희롱에 해당한다. (전화동화포함)
6,직장 동료 또는 부하직원의 외모에 대한 평가를 하는 것도 성희롱이 될수 있다.,O, 직장 동료 또는 부하직원의 외모에 대한 평가를 하는 것도 성희롱이 될수 있다.
7,회식자리 등에서 무리하게 옆에 앉혀 술을 따르도록 하는 행위는 성희롱에 해당하지 않는다.,X,회식자리 등에서 무리하게 옆에 앉혀 술을 따르도록 하는 행위도 성희롱이 될 수 있다.
8,"음란한 사진, 그림, 낙서, 출판물등을 보여주는 행위는 성희롱에 해당하지 않는다.",X,"음란한 사진, 그림, 낙서, 출판물등을 보여주는 행위도 성희롱이 될 수 있다. (컴퓨터, 팩스 등을 이용한 경우도 포함)"
9,직장내 괴롭힘은 상사와 부와직원간 뿐만 아니라 동료들과의 관계에서도 발생 할 수 있다.,O, 사용자 또는 근로자는 직장에서의 지위 또는 관계 등의 우위를 이용하여 업무상 적정 범위를 넘어 다른 근로자에게 신체적·정신적 고통을 주거나 근무환경을 악화시키는 행위를 해서는 안된다. (직장내괴롭힘에 해당)
10,계약직 근로자도 직장내 괴롭힘의 피해자가 될 수 있다.,O, 계약직 근로자도 직장내괴롭힘의 피해자가 될 수 있다. (계약직등 고용형태 불문)
