번호,문항,답안,해설
65,사업의 유지를 목적으로 국내 공무원에게 식사를 대접하는 것은 FCPA에 위반될수 있다.,O,사업의 획득을 목적으로 국내외 공무원에게 식사를 대접하는 것은 FCPA에 위반된다.
66,외국 공무원에게 국내관광비용을 제공하는 것은 FCPA에 위반될 수 있다.,O,사업의 획득을 목적으로 국내외 공무원에게 국내관광비용을 제공하는 것은 FCPA에 위반된다.
67,사업의 획득을 목적으로 국내 공무원에게 채용을 약속하는 것은 실제 채용을 하지 않았다고 하더라도 FCPA에 위반된다.,O,사업의 획득을 목적으로 국내외 공무원에게 채용을 약속하는 것은 실제 채용을 하지 않았다고 하더라도 FCPA에 위반된다.
68,"정확한 회계처리, 기록을 하지 않으면 FCPA위반이 될수 있다.",O,"정확한 회계처리, 기록을 하지 않으면 FCPA 위반이 될수 있다."
69,협찬을 할 경우 협찬을 하고자 하는 부서의 부서장 승인만 있으면 집행이 가능하다.,X,협찬을 할 경우에는 회사 내 정해진 사전 승인 및 집행 절차를 준수하여 진행해야 한다. (기금출연심의위원회 심의 및 컴플라이언스검토).
70,지자체에서 시행하는 마라톤행사에 당사가 금원을 지원하고 행사 팜플렛에 케이티 후원문구를 기재하는 것은 협찬에 해당한다.,O,"협찬은 외부(그룹사제외)의 문화/예술/체육(e스포츠포함)/학술행사나 문화/예술/체육e스포츠포함)/학술단체를 위하여 돈이나 물건 등을 지원하고 이에 상응하는 광고, 홍보성 반대급부를 얻는것을 말한다."
71,특정단체의 학술행사에 당사가 금원을 지원하고 단체 홈페이지와 행사 팜플렛에 케이티 후원문구를 기재하는 것은 협찬에 해당한다.,O,"협찬은 외부(그룹사제외)의 문화/예술/체육(e스포츠포함)/학술행사나 문화/예술/체육(e스포츠포함)/학술단체를 위하여 돈이나 물건 등을 지원하고 이에 상응하는 광고, 홍보성 반대급부를 얻는것을 말한다"
72,자선 사업이나 공공사업을 돕기 위해 돈이나 물건 등을 반대급부 없이 지원하는 것은 기부이므로 기부금 집행계정을 사용해야 한다.,O, 자선 사업이나 공공사업을 돕기 위해 돈이나 물건 등을 반대급부 없이 지원하는 것은 기부에 해당하며 기부금 집행계정을 사용해야 한다.
73,케이티가 복지재단에 코로나 취약계층 지원을 위한 마스크등 물품을 지급하고 이와 관련하여 아무런 반대급부를 받지 않았다면 기부에 해당한다.,O, 자선 사업이나 공공사업을 돕기 위해 돈이나 물건 등을 반대급부 없이 지원하는 것은 기부에 해당하며 기부금 집행계정을 사용해야 한다.
74,"회사의 필요에 의해 협회, 학회 등 단체에 가입/활동을 하기 위해 해당 단체의 정관/규정 등에 근거한 가입비, 회비 등을 납부하는 것은 협회비에 해당한다.",O," 회사의 필요에 의해 협회, 학회 등 단체에 가입/활동을 하기 위해 해당 단체의 정관/규정 등에 근거한 가입비, 회비 등을 납부하는 것은 협회비에 해당한다."
75, 모든 협찬이 컴플라이언스 사전심의 검토를 받아야 하는 것은 아니다.,X,"모든 기부협찬,협회비는 컴플라이언스 사전심의 검토를 받아야 한다."
76,계약체결을 앞둔 공무원에게 커피를 사주는 것은 청탁금지법 위반이다,O,접적이해관계가 있는경우 원활한 사교의례목적의 예외가 인정되지 않으므로 청탁금지법 위반이다.
77,인허가 신청 중에 담당 공무원에게 2만원상당의 식사를 대접하는 것은 청탁금지법 위반이다,O,접적이해관계가 있는경우 원활한 사교의례목적의 예외가 인정되지 않으므로 청탁금지법 위반이다.
78, 공공기관으로부터 평가를 받는 기간에 담당공무원에게 5천원짜리 커피를 사주는 것은 청탁금지법 위반이다.,O,접적이해관계가 있는경우 원활한 사교의례목적의 예외가 인정되지 않으므로 청탁금지법 위반이다.
