번호,문항,답안,해설
1,"사업 수주로 인하여 협력사와 계약을 체결하고자 할 경우, 사전에 제3자 위험평가를 반드시 해야한다.",O,"협력사 등과 계약을 체결하고자 하는 계약요청부서는 부패방지법 위반 리스크 예방을 위한 위험평가표 양식에 따라 제3자 위험 평가를 하고, 평가 결과 중위험 이상일 경우에는 내/외부 실사질의서 작성 후 위험요인이 있을 경우 지정된 준법실사 전문부서에 VDC-B(입찰/계약 요청일 기준 10일 전까지 준법실사를 의뢰해야 한다."
2,그룹사를 포함한 제3자(협력사등)와 계약을 체결하기 위해서는 사전에 위험평가표를 작성하여 등급을 부여하고 후속절차를 진행후 계약을 진행한다,O,"제3자 위험평가 및 준법실사는 제3자로부터 야기될 수 있는 잠재적 부패리스크를 방지하기 위해 시행하는 제도이며, kt와 계약을 체결하려는 모든 제3자에 대해 계약 체결 전 위험평가를 시행해야 한다."
3,공공사업이 아닌 kt사업에 참여하는 제3자에 대해선 제3자 위험평가표를 작성할 필요가 없다.,X,"제3자 위험평가표는 kt사업에 참여하는 모든 제3자에 대해 작성해야 하며, 공공사업 참여 여부 등은 제3자 위험평가표 문항으로 제공된다."
4,"제3자 위험평가 시행 시, 평가등급이 저위험인 경우 준법실사 의뢰는 필요 하지 않다.",O,중/고위험 등급에 해당하는 경우에만 부문 전문부서에 준법실사를 의뢰한다.
5,"제 3자 위험평가 프로세스 中 중/고위험에 해당 될 경우, 외부/내부 실사 질의서를 무조건 작성해야 한다.",O, 제3자 위험평가표 작성을 통해 중/고위험 등급에 해당하는 경우에만 외부/내부실사질의서를 작성한다.
6," 공공기관 대상 하도급 계약금액이 50억 이상인 경우, 무조건 준법실사를 진행해야 한다.",O,"제3자 위험평가표 작성 시 공공기관 대상 하도급 계약금액이 50억 이상인가를 묻는 문항이 존재하며, 해당 문항에 '예'로 응답한 경우 중위험 이상의 위험등급이 확정된다."
7, kt가 공공기관과 계약을 체결함에 있어 협력사의 부패방지위반이력은 소급적용 시키지 않는다.,X,"제3자의 부패 관련 이력이 있는 경우, 제3자가 자발적으로 부패이력에 대한 사실확인 및 부패예방책에 대해 적극 소명해야 한다."
8,외부실사질의서는 계약요청부서가 내부실사질의서를 바탕으로 작성해야 한다.,X,계약요청부서는 제3자가 작성한 외부실사질의서를 바탕으로 사실 관계 확인을 통해 내부실사질의서를 작성해야 한다.
9,". 준법실사 최종검토 결과, 위험도가 높은 적색 완화요인이 도출된 경우, 계약요청부서는 계약가능 조건(완화요인)을 모두 충족한 후 제3자와 계약을 체결해야 한다.",O," 적색 완화요인은 공동계약조건을 포함하여 모든 조건이 충족되어야만 계약이 가능하며, 계약 전 조건을 모두 충족하였다는 증빙을 윤리실에 제출하여야 한다. 단, 계약서 및 부패장지 교육 증빙 등은 계약 이후 1개월 이내에 증빙을 제출토록 한다."
10,VDC-B 및 계약요청일 이후에 제3자 위험평가 및 준법실사를 진행하여도 무방하다.,X,"VDC-B 및 계약요청 이전에 제3자 위험평가 및 준법실사가 완료되어야 하며, 준법실사는 소요기간을 고려하여 최소 10일전, 긴급 발주 사업의 경우에도 최소 7일 전에 준법실사를 의뢰해야 한다."
